code,description,chapter,phecode,rank
00,"Procedures and interventions, Not Elsewhere Classified",,,
00.0,Therapeutic ultrasound,,,
00.01,Therapeutic ultrasound of vessels of head and neck,,,2
00.02,Therapeutic ultrasound of heart,,,4
00.03,Therapeutic ultrasound of peripheral vascular vessels,,,6
00.09,Other therapeutic ultrasound,,,2
00.1,Pharmaceuticals,,,
00.10,Implantation of chemotherapeutic agent,,,162
00.11,Infusion of drotrecogin alfa (activated),,,1012
00.12,Administration of inhaled nitric oxide,,,8
00.13,Injection or infusion of nesiritide,,,1
00.14,Injection or infusion of oxazolidinone class of antibiotics,,,12
00.15,High-dose infusion interleukin-2 [IL-2],,,1412
00.16,Pressurized treatment of venous bypass graft [conduit] with pharmaceutical substance,,,20
00.17,Infusion of vasopressor agent,,,12720
00.18,Infusion of immunosuppressive antibody therapy,,,425
00.19,Disruption of blood brain barrier via infusion [BBBD],,,
00.2,Intravascular imaging of blood vessels,,,
00.21,Intravascular imaging of extracranial cerebral vessels,,,1
00.22,Intravascular imaging of intrathoracic vessels,,,23
00.23,Intravascular imaging of peripheral vessels,,,5
00.24,Intravascular imaging of coronary vessels,,,771
00.25,Intravascular imaging of renal vessels,,,2
00.28,"Intravascular imaging, other specified vessel(s)",,,4
00.29,"Intravascular imaging, unspecified vessel(s)",,,
00.3,Computer assisted surgery [CAS],,,
00.31,Computer assisted surgery with CT/CTA,,,1654
00.32,Computer assisted surgery with MR/MRA,,,56
00.33,Computer assisted surgery with fluoroscopy,,,2496
00.34,Imageless computer assisted surgery,,,17
00.35,Computer assisted surgery with multiple datasets,,,20
00.39,Other computer assisted surgery,,,4518
00.4,Adjunct Vascular System Procedures,,,
00.40,Procedure on single vessel,,,20501
00.41,Procedure on two vessels,,,4525
00.42,Procedure on three vessels,,,780
00.43,Procedure on four or more vessels,,,155
00.44,Procedure on vessel bifurcation,,,732
00.45,Insertion of one vascular stent,,,11768
00.46,Insertion of two vascular stents,,,5207
00.47,Insertion of three vascular stents,,,1775
00.48,Insertion of four or more vascular stents,,,977
00.49,Supersaturated oxygen therapy,,,2
00.5,Other cardiovascular procedures,,,
00.50,"Implantation of cardiac resynchronization pacemaker without mention of defibrillation, total system [CRT-P]",,,363
00.51,"Implantation of cardiac resynchronization defibrillator, total system [CRT-D]",,,2200
00.52,Implantation or replacement of transvenous lead [electrode] into left ventricular coronary venous system,,,82
00.53,Implantation or replacement of cardiac resynchronization pacemaker pulse generator only [CRT-P],,,14
00.54,Implantation or replacement of cardiac resynchronization defibrillator pulse generator only [CRT-D],,,66
00.55,Insertion of drug-eluting stent(s) of other peripheral vessel(s),,,187
00.56,Insertion or replacement of implantable pressure sensor with lead for intracardiac or great vessel hemodynamic monitoring,,,12
00.57,Implantation or replacement of subcutaneous device for intracardiac or great vessel hemodynamic monitoring,,,10
00.58,Insertion of intra-aneurysm sac pressure monitoring device (intraoperative),,,4
00.59,Intravascular pressure measurement of coronary arteries,,,512
00.6,Procedures on blood vessels,,,
00.60,Insertion of drug-eluting stent(s) of superficial femoral artery,,,18
00.61,Percutaneous angioplasty of extracranial vessel(s),,,1172
00.62,Percutaneous angioplasty of intracranial vessel(s),,,222
00.63,Percutaneous insertion of carotid artery stent(s),,,813
00.64,Percutaneous insertion of other extracranial artery stent(s),,,154
00.65,Percutaneous insertion of intracranial vascular stent(s),,,140
00.66,Percutaneous transluminal coronary angioplasty [PTCA],,,17960
00.67,Intravascular pressure measurement of intrathoracic arteries,,,20
00.68,Intravascular pressure measurement of peripheral arteries,,,5
00.69,"Intravascular pressure measurement, other specified and unspecified vessels",,,16
00.7,Other hip procedures,,,
00.70,"Revision of hip replacement, both acetabular and femoral components",,,529
00.71,"Revision of hip replacement, acetabular component",,,98
00.72,"Revision of hip replacement, femoral component",,,160
00.73,"Revision of hip replacement, acetabular liner and/or femoral head only",,,142
00.74,"Hip bearing surface, metal-on-polyethylene",,,1184
00.75,"Hip bearing surface, metal-on-metal",,,512
00.76,"Hip bearing surface, ceramic-on-ceramic",,,172
00.77,"Hip bearing surface, ceramic-on-polyethylene",,,2033
00.8,Other knee and hip procedures,,,
00.80,"Revision of knee replacement, total (all components)",,,408
00.81,"Revision of knee replacement, tibial component",,,219
00.82,"Revision of knee replacement, femoral component",,,247
00.83,"Revision of knee replacement, patellar component",,,28
00.84,"Revision of total knee replacement, tibial insert (liner)",,,194
00.85,"Resurfacing hip, total, acetabulum and femoral head",,,185
00.86,"Resurfacing hip, partial, femoral head",,,42
00.87,"Resurfacing hip, partial, acetabulum",,,6
00.9,Other procedures and interventions,,,
00.91,Transplant from live related donor,,,1184
00.92,Transplant from live non-related donor,,,1298
00.93,Transplant from cadaver,,,4398
00.94,Intra-operative neurophysiologic monitoring,,,8026
00.95,Injection or infusion of glucarpidase,,,2
00.96,Infusion of 4-Factor Prothrombin Complex Concentrate,,,5
001,Cholera,AB,008,18
001.0,Cholera due to vibrio cholerae,AB,008,4
001.1,Cholera due to vibrio cholerae el tor,AB,008,2
001.9,"Cholera, unspecified",AB,008,12
002,Typhoid and paratyphoid fevers,AB,008,30
002.0,Typhoid fever,AB,008.5,45
002.1,Paratyphoid fever A,AB,008,6
002.2,Paratyphoid fever B,AB,008,1
002.3,Paratyphoid fever C,AB,008,
002.9,"Paratyphoid fever, unspecified",AB,008,18
003,Other salmonella infections,AB,008.5,47
003.0,Salmonella gastroenteritis,AB,008.5,829
003.1,Salmonella septicemia,AB,038.1,150
003.2,Localized salmonella infections,AB,008.5,
003.20,"Localized salmonella infection, unspecified",AB,008.5,9
003.21,Salmonella meningitis,AB,320,34
003.22,Salmonella pneumonia,AB,480.1,8
003.23,Salmonella arthritis,AB,711,7
003.24,Salmonella osteomyelitis,AB,710.1,15
003.29,Other localized salmonella infections,AB,008.5,5
003.8,Other specified salmonella infections,AB,008.5,63
003.9,"Salmonella infection, unspecified",AB,008.5,440
004,Shigellosis,AB,008.5,7
004.0,Shigella dysenteriae,AB,008.5,21
004.1,Shigella flexneri,AB,008.5,4
004.2,Shigella boydii,AB,008.5,3
004.3,Shigella sonnei,AB,008.5,72
004.8,Other specified shigella infections,AB,008.5,55
004.9,"Shigellosis, unspecified",AB,008.5,123
005,Other food poisoning (bacterial),AB,008.5,16
005.0,Staphylococcal food poisoning,AB,008.5,17
005.1,Botulism food poisoning,AB,008.5,57
005.2,Food poisoning due to Clostridium perfringens (C. welchii),AB,008.5,5
005.3,Food poisoning due to other Clostridia,AB,008.5,1
005.4,Food poisoning due to Vibrio parahaemolyticus,AB,008.5,2
005.8,Other bacterial food poisoning,AB,008.5,
005.81,Food poisoning due to Vibrio vulnificus,AB,008.5,2
005.89,Other bacterial food poisoning,AB,008.5,42
005.9,"Food poisoning, unspecified",AB,008,344
006,Amebiasis,AB,008,13
006.0,Acute amebic dysentery without mention of abscess,AB,008,1
006.1,Chronic intestinal amebiasis without mention of abscess,AB,008.7,16
006.2,Amebic nondysenteric colitis,AB,008,
006.3,Amebic liver abscess,AB,008,19
006.4,Amebic lung abscess,AB,008,2
006.5,Amebic brain abscess,AB,008,37
006.6,Amebic skin ulceration,AB,008,6
006.8,Amebic infection of other sites,AB,008,8
006.9,"Amebiasis, unspecified",AB,008,23
007,Other protozoal intestinal diseases,AB,008,9
007.0,Balantidiasis,AB,008.7,14
007.1,Giardiasis,AB,008.7,336
007.2,Coccidiosis,AB,008,64
007.3,Intestinal trichomoniasis,AB,008,3
007.4,Cryptosporidiosis,AB,008.7,497
007.5,Cyclosporiasis,AB,008,9
007.8,Other specified protozoal intestinal diseases,AB,008.7,53
007.9,Unspecified protozoal intestinal disease,AB,008,4
008,Intestinal infections due to other organisms,AB,008,6
008.0,Intestinal infection due to escherichia coli [E. coli],AB,008.51,5
008.00,"Intestinal infection due to E. coli, unspecified",AB,008.51,430
008.01,Intestinal infection due to enteropathogenic E. coli,AB,008.51,10
008.02,Intestinal infection due to enterotoxigenic E. coli,AB,008.51,6
008.03,Intestinal infection due to enteroinvasive E. coli,AB,008.51,1
008.04,Intestinal infection due to enterohemorrhagic E. coli,AB,008.51,100
008.09,Intestinal infection due to other intestinal E. coli infections,AB,008.51,95
008.1,Intestinal infection due to arizona group of paracolon bacilli,AB,008.5,
008.2,Intestinal infection due to aerobacter aerogenes,AB,008.5,2
008.3,Intestinal infection due to proteus (mirabilis) (morganii),AB,008.5,3
008.4,Intestinal infection due to other specified bacteria,AB,008.5,3
008.41,Intestinal infection due to staphylococcus,AB,008.5,12
008.42,Intestinal infection due to pseudomonas,AB,008.5,48
008.43,Intestinal infection due to campylobacter,AB,008.5,126
008.44,Intestinal infection due to yersinia enterocolitica,AB,008.5,53
